	Alternate Symbols
MED4	DRIP36,HSPC126,TRAP36
KLF17	FLJ40160,Zfp393
MRPS33P1	
MYEF2	FLJ11213,HsT18564,KIAA1341,MEF-2
VN1R11P	VNR6I2P,dJ86C11.7,hs6V1-2p
ARMC4	DKFZP434P1735,FLJ10376,FLJ10817
OTUD7A	CEZANNE2
FRMD6-AS1	
STAC3	MGC2793
TTC8	BBS8,RP51
SLEN3	
MAST3	KIAA0561
TRIM65	
PGBD2	
DOCK9	KIAA1058,ZIZ1
MICG	
FAM21B	FLJ10824,bA98I6.1
ELMSAN1	LSR68
RPL21P16	Em:AC073587.1
KIAA1737	
TIMM23B	bA592B15.7
PTCD1	KIAA0632
MMS22L	dJ39B17.2
USP12P1	
RPS9P2	bA12M9.1
LINC00533	C6orf39,bA373N24.1
LOXHD1	FLJ32670,LH2D1
BICC1	
CELF2-AS1	Em:AC026887.2,FLJ40494
RNASE10	RNASE9
SLC41A3	FLJ20473
TWISTNB	
CASKIN1	ANKS5A,KIAA1306
ZSCAN4	FLJ35105
GPR126	FLJ14937
FAM25E	AC012044.5
LCMT2	KIAA0547,MGC9534,PPM2,TYW4
XRN1	SEP1
SETP2	
TNMD	BRICD4,ChM1L,TEM,myodulin,tendin
CYCSP2	HCP37
HAPLN2	BRAL1
TXLNB	DKFZp451A175,MDP77,dJ522B19.2
RRN3	DKFZp566E104
PLCXD1	FLJ11323
DHRS4L1	SDR25C4
LINC00484	
ADH5P4	bA707M13.2
TCEB3CL	HsT828
C9orf116	MGC29761,PIERCE1,RbEST47
TREML1	TLT1,dJ238O23.3
KY	FLJ33207
RPL31P8	
GLIS3	MGC33662
YWHAQP1	
NOA1	MGC3232,hAtNOS1,hNOA1
PPP2R3B	PPP2R3LY,PR48
GLC1H	
ZMYND19	MIZIP
NANOGP2	NANOGP4
C19orf25	FLJ36666
EIF2S2P2	bcm2636
OGDHL	FLJ10851
OR8I4P	
RAET1K	
UNC13A	KIAA1032,Munc13-1
FAIM2	KIAA0950,LFG,LFG2,NMP35,TMBIM2
IER5L	bA247A12.2
TAS2R60	T2R60
RBMY2SP	
ITLN2	HL-2
SLC22A17	BOCT,BOIT,NGALR
CYP26B1	P450RAI-2
UROC1	FLJ31300,HMFN0320
DND1P2	
LITAF	FLJ38636,PIG7,TP53I7
ANKRD31	FLJ40191
OR10J9P	
GDPD1	FLJ37451,GDE4
SEPT8	KIAA0202,SEP2
HS6ST3	
ARL6IP4	SFRS20,SR-25,SRp25,SRrp37
ARFIP2	POR1
RPL21P9	
SSX7	
CDIP1	CDIP,LITAFL
CCDC7	FLJ32762
KIAA0391	MRPP3
ZBED2	MGC10796
OARD1	MGC19570,TARG1,dJ34B21.3
DYM	DMC,FLJ20071,SMC
LINC00520	
LRRC7	KIAA1365,densin-180
XKRY2	
ETHE1	HSCO,YF13H12
ZFP64P1	
KRTAP19-11P	KAP19C
PURG	PURG-A,PURG-B
ASB16	FLJ30165
PQLC2	FLJ20320
MDM1	
LANCL3	FLJ42925
LCN9	
ZFYVE21	MGC2550,ZF21
DPF1	BAF45b,NEUD4,neuro-d4
ADAMTSL4	DKFZP434K1772
PLEKHH1	KIAA1200
PNMA6A	MGC15827
CCBE1	FLJ30681,KIAA1983
SUGT1	SGT1
FGF7P2	
CNKSR3	FLJ31349
CABLES1	FLJ35924,HsT2563
FAM24B	AC073585.2,MGC45962
MUM1L1	FLJ33516
RSU1P1	Y214H10.6
ANKRD28	KIAA0379,PITK,PP6-ARS-A,PPP1R65
DNAJC5G	CSP-gamma,FLJ40417
SHPRH	FLJ90837,KIAA2023,bA545I5.2
RCN3	RLP49
TMPRSS6	FLJ30744
CRISP3	Aeg2,CRISP-3,CRS3,SGP28,dJ442L6.3
ZMAT1	KIAA1789
LRP11	MANSC3,bA350J20.3
SAMD3	FLJ34032,bA73O6.2
GKAP1	FKSG21,GKAP42
LINC00521	
LCE3A	LEP13
FGFBP1	FGFBP,HBP17
EXOSC7	EAP1,KIAA0116,RRP42,Rrp42p,hRrp42p,p8
EMILIN2	FLJ33200,FOAP-10
KRTAP5-7	KRTAP5-3,KRTAP5.7
USP38	HP43.8KD,KIAA1891
SPATA6L	FLJ10058
TSPY13P	
MARCH8	MARCH-VIII,RNF178,c-MIR
C9orf92	Em:AL513424.1
TNRC6C	FLJ20015,KIAA1582
KAT6B	MOZ2,Morf,ZC2HC6B,qkf,querkopf
FUSIP1P	
ANP32E	LANP-L,LANPL,MGC5350
LRFN3	FIGLER1,MGC2656,SALM4
PAQR9	FLJ41938
CYB561A3	
FAM214B	FLJ11560,bA182N22.6
ZDHHC20	FLJ25952
KCTD4	bA321C24.3
IDNK	bA522I20.2
TULP4	KIAA1397,TUSP
LINC00516	
ZNF404	
RPL15P4	Em:AC006046.2
USP47	
PPHLN1	
TAAR6	TA4
TICAM2	TICAM-2,TIRP
IBD9	
LSM5	YER146W
PYGO2	
ECHDC3	FLJ20909
C10orf115	bA215C7.4
C8orf22	
ZGPAT	FLJ14972,GPATC6,GPATCH6,MGC44880,ZC3H9,ZC3HDC9,dJ583P15.3
TTC18	FLJ25765
ZNF546	MGC43537
NDUFA4L	
TBC1D16	FLJ20748,MGC25062
DNAJB8	MGC33884
MUS81	FLJ44872,SLX3
COX8BP	COX8-1,COX8H
VGLL2	
ANXA8L1	bA301J7.3
NOL7	NOP27,RARG-1,dJ223E5.2
LIN7A	LIN-7A,MALS-1,TIP-33,VELI1
C6orf58	
RPL15P2	
OR4A44P	
PYCR2	P5CR2
VN1R6P	ZVNH2,ZVNR2
FAM8A7P	
TMED9	HSGP25L2G
LSM3	SMX4,USS2,YLR438C
POLR1C	RPA39,RPA40,RPA5,RPAC1
PDXP	FLJ32703,dJ37E16.5
HCP5P15	
PIH1D3	MGC35261,NYSAR97
CREB3L3	CREB-H
KRT18P8	
TBRG4	Cpr2,FASTKD4,H_TD2522F11.8,KIAA0948
OR7E140P	
OR4A40P	
UBE2J2	NCUBE2,Ubc6p
SOWAHC	FLJ21870
REEP5	D5S346,DP1,TB2
LGALS14	CLC2,PPL13
GLDN	CLOM,CRG-L2,UNC-112,colmedin
TSPY5P	
ACD	Pip1,Ptop,Tint1,Tpp1
THADA	FLJ21877,GITA,KIAA1767
GPR144	PGR24
ARMC1	Arcp,FLJ10511
ZFP1	FLJ34243,ZNF475
TRIAP1P1	bA748L13.4
CERS5	FLJ25304,MGC45411,Trh4
TTC21B	FLJ11457,IFT139,JBTS11,NPHP12
ANKRD1	ALRP,C-193,CVARP,MCARP
SESN2	DKFZp761M0212,HI95,SES2,SEST2
NIT2	
FSD1	MGC3213,MIR1
SSX9	
KIF21A	FLJ20052
SETD3	FLJ23027
C3orf14	HT021
CHRDL2	BNF1
ILDR1	MGC50831
PRICKLE2	DKFZp686D143
ATG9B	APG9L2,FLJ14885,SONE
STK16P1	
GTPBP3	FLJ14700,GTPBG3,MSS1,MTGP1,THDF1
C21orf119	MGC14136,PRED84
ZFAND6	AWP1,ZFAND5B
CTSL1P7	bA144G6.6
HCG4P10	
BLACE	
HNRPA1P2	
ZBTB10	FLJ12752,RINZF
CIZ1	LSFR1,ZNF356
FNDC4	FLJ22362,FRCP1
AACSP1	
KIAA0408	
CBX9	
HAVCR2	FLJ14428,TIM3,TIMD3,Tim-3
ATG3	DKFZp564M1178,FLJ22125,MGC15201,PC3-96
ZC3H6	FLJ41410,FLJ45877,KIAA2035
OTOP1	
HIPK4	FLJ32818
ZNF655	VIK,VIK-1
CHCHD7	COX23,MGC2217
OBP2B	hOBPIIb
C6orf183	bA487F23.3
FADS6	
TRIM47	GOA,RNF100
ZNF573	FLJ30921
STOX1	FLJ25162
NCR3	1C7,CD337,NKp30
USP35	KIAA1372
C14orf99	
TAS2R33	T2R33
RPL12P2	dJ441G21.1
FAM25G	bA301J7.4
MIPOL1	
SLC35E4	
DFNB43	
KBTBD4	FLJ10450,HSPC252
ATP6V1G1P1	
UBAP2L	KIAA0144,NICE-4
NHLRC2	DKFZp779F115,FLJ20147,FLJ25621,FLJ33312,MGC45492
HCG17	LINC00046,NCRNA00046
SNW1	Bx42,NCoA-62,PRPF45,Prp45
HEMK1	MTQ1
ACBD7	FLJ38219,bA455B2.2
PHLDB2	FLJ21791,LL5b,LL5beta
RABEP1	RAB5EP,RABPT5,neurocrescin,rabaptin-5
NMD3	CGI-07
HIST2H2AB	
ATXN3L	MJDL
TTC40	DKFZp434A1721,FLJ25954,bA288G11.4,bA288G11.5,bB137A17.2,bB137A17.3
ZNF506	DKFZp761G1812
SNORD38B	U38B
KRTAP10-1	KAP10.1,KAP18.1
MED31	CGI-125,Soh1
ANKRD13A	NY-REN-25
ANAPC2	APC2,KIAA1406
IGFLR1	FLJ22573
LMTK2	AATYK2,BREK,KIAA1079,KPI-2,KPI2,LMR2,cprk
SGPP1	
KIAA1432	bA207C16.1
ARHGAP18	MacGAP,bA307O14.2
C6orf70	FLJ11152,dJ266L20.3
MED18	FLJ20045,p28b
RPSAP9	
SRMP2	
ARHGEF17	KIAA0337,TEM4,p164-RhoGEF
KRTAP21-2	KAP21.2
C9orf129	bA165J3.3
MED12L	KIAA1635,TNRC11L,TRALP,TRALPUSH
KCTD7	CLN14,EPM3,FLJ32069
ARMC6	MGC19595
IQCF3	
ABRACL	Costars,HSPC280,PRO2013
SOCS5	CIS6,CISH6,Cish5,KIAA0671,SOCS-5
CDADC1	NYD-SP15
CSMD2	KIAA1884
RAPGEFL1	Link-GEFII
ASXL2	ASXH2,FLJ10898,KIAA1685
ATXN7L1	KIAA1218,MGC33190
RASGEF1A	CG4853,FLJ37817
BLOC1S3	BLOS3,HPS8
NDOR1	NR1,bA350O14.9
LCE1A	LEP1
SLC2A14	GLUT14
CAMSAP3	Nezha
LRRC9	FLJ46156
DYNLL1P1	
GRPEL2	DKFZp451C205,FLJ23713,Mt-GrpE#2
C6orf141	MGC46457
GPR112	PGR17,RP1-299I16
ZBTB7A	DKFZp547O146,FBI-1,LRF,ZNF857A,pokemon
RBMY2QP	
PSD2	DKFZp761B0514
CBLN3	
OFD1P11Y	
RSPO3	FLJ14440
ZCCHC12	FLJ16123,PNMA7A,SIZN,SIZN1
ZSWIM8	4832404P21Rik
CXorf23	
TIPARP	DDF1,DKFZP434J214,DKFZp686N0351,PARP-1,PARP-7,PARP7,RM1,pART14
DSTNP1	
SLITRK5	KIAA0918,bA364G4.2
RIOK2	FLJ11159
GLUD1P7	bA342C24.3
GLB1L	MGC10771
OR2X1P	
RPL35AP3	bA55K22.4
HIST2H3B	
WFDC5	WAP1,dJ211D12.5
TEX261	MGC32043,TEG-261
MMP21	
HIST2H2BC	H2B/t
SOCS3	CIS3,Cish3,SOCS-3,SSI-3
RBFA	FLJ21172,HsT169
RAPGEF6	PDZ-GEF2,RA-GEF-2
PLEKHB2	EVT2,FLJ20783
ARMC12	FLJ25390
PGBD4	FLJ32638,FLJ37497
SLC23A4P	
COX7B2	
RPS8P3	HsT2707
TBC1D8	AD3,HBLP1,VRP
C14orf80	
PHC3	EDR3,FLJ12729,FLJ12967,HPH3
PLCXD3	
TTC12	FLJ13859,FLJ20535,TPARM
RPL13AP	RPL13Ap,dJ271M21.3
RPH3A	KIAA0985,exophilin-1,rabphilin
GPR116	DKFZp564O1923,KIAA0758
PPRC1	KIAA0595,MGC74642,PRC
ZNF439	DKFZp571K0837
THAP2	DKFZP564I0422
MYCBPAP	AMAP-1,DKFZp434N1415
SLC10A3	DXS253E,P3
KAT7	HBO1,HBOA,ZC2HC7
CCDC176	
MOB3B	FLJ13204,MOB1D
HAPLN4	BRAL2,KIAA1926
ZNF467	EZI,Zfp467
RBM19	DKFZp586F1023,KIAA0682
MSS51	FLJ39565
PLEKHS1	FLJ23537,bA211N11.2
SPATA31E1	FLJ35866
KRT8P5	
CIRBP-AS1	MGC39338
ECE2	KIAA0604,MGC2408
TMEM132A	FLJ20539,GBP
ZNF485	
TSHZ3	KIAA1474,TSH3
ARHGEF19	FLJ33962,WGEF
COL26A1	EMI6,Emu2
PCGF6	MBLR
LETM2	FLJ25409
EFS	CASS3,EFS1,EFS2,HEFS
GALNT13	GalNAc-T13,KIAA1918
PNPLA1	FLJ38755,dJ50J22.1
PPIHP2	
PANK4	FLJ10782
KIAA1430	DKFZp434F1728
IMMP2L	IMP2
RPL23AP12	
TMEM26	Em:AC068892.1,MGC35010
LRRTM1	FLJ32082
OR4A46P	
FAM19A5	TAFA-5
NDEL1	MITAP1,NUDEL
RNASE9	h461
RAC1P4	Psi4Rac1
RPS26P5	
CNIH2	CNIH-2,Cnil,MGC50896
KIR3DL3	CD158z,KIR3DL7,KIR44,KIRC1
KLHL17	
POP7	RPP2,RPP20
ZNF70P1	bCX269C15.3,dJ1033B10.7
THOC1	HPR1,P84
PLD3	HU-K4
DENND4A	IRLB
ALG9	
SBK1	Sbk
TSC22D1	MGC17597,TSC22
RPS24P2	
C9orf118	bA342C23.1
OIP5	CT86,MIS18B,hMIS18beta
FANCL	FAAP43,FLJ10335,Pog
SYT14	FLJ34198,sytXIV
NFATC2IP	ESC2,FLJ14639,NIP45,RAD60
ART5	
NOC3L	AD24,FAD24,FLJ12820
KEAP1	INrf2,KIAA0132,KLHL19,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454
SCYL2	KIAA1360
KIAA0226	rubicon,rundataxin
KIAA1524	
SNORD35B	U35B
SPAG16	DKFZp666P1710,FLJ22724,PF20,WDR29
GTSCR1	
DTX3	FLJ34766,RNF154
SRGAP1	ARHGAP13,KIAA1304
KIF26A	DKFZP434N178,KIAA1236
PRTFDC1	HHGP
GAREM	FLJ21610
TERF2IPP1	
STK32C	MGC23665,PKE,YANK3
ACTBP10	
TNS3	FLJ13732,H_NH0549I23.2,TEM6
TNPO3	IPO12,MTR10A,TRN-SR,TRN-SR2
TBC1D10A	AC004997.C22.2,EPI64
DIP2A	Dip2,KIAA0184
SV2C	
LRFN5	FIGLER8,SALM5
ZNF496	MGC15548,ZKSCAN17,ZSCAN49
DPF3	Cerd4,FLJ14079,cer-d4
SLC25A51	CG7943,MGC14836
OTOP3	
FAM20A	DKFZp434F2322
USP51	
LSM7	YNL147W
SPATA12	
ZCWPW2	ZCW2
CHMP4A	HSPC134,VPS32A
ETNK2	EKI2,FLJ10761
PLEKHM2	KIAA0842
CHST9	GALNAC-4-ST2,GALNAC4ST-2
TTLL2	NYD-TSPG,dJ366N23.3
CAPN14	
MCU	FLJ46135
SAMD5	dJ875H10.1
KIAA1244	BIG3,PPP1R33,dJ171N11.1
REG4	GISP,REG-IV,RELP
C18orf21	HsT3108,PNAS-124,PNAS-131
SEC61B	
BRSK1	KIAA1811
PLA2G2E	
ZNF630	BC037316,FLJ20573,MGC138344,dJ54B20.2
IGBP1P1	
SYNPO2L	FLJ12921
PYCRL	FLJ13852
TREML3P	TLT3
MMVP2	
SLC9A9	FLJ35613,NHE9
SMPDL3B	ASML3B
OR2T33	
DCP1B	FLJ31638
CSNK1G2-AS1	MGC39696
SLC39A9	FLJ11274
ZNF619	FLJ90764
IFIH1	Hlcd,IDDM19,MDA-5,MDA5
RAD9B	FLJ40346
TUSC1	TSG-9
KRTAP5-5	KRTAP5-11,KRTAP5.5
SLC41A1	MgtE
PHF8	JHDM1F,KIAA1111,ZNF422
ZCCHC8	DKFZp434E2220
ZNF517	
ATF7IP	FLJ10688,p621
RASA4	CAPRI,GAPL,KIAA0538
ERN2	IRE1b
USP45	MGC14793
ANKRD18A	FLJ35740,KIAA2015
NEIL3	FLJ10858,FPG2,hFPG2,hNEI3
UBQLN4P1	C3orf12
GAL3ST1	CST
RHOT2	MIRO-2
TSPY11P	
ZNF548	FLJ32932
FBXO39	Fbx39,MGC35179
HORMAD2	MGC26710
SLC35B3	CGI-19,PAPST2,dJ453H5.1
DHFRL1	FLJ16119
VSTM4	FLJ31737
LINC00473	bA142J11.1
LRSAM1	FLJ31641
PLAC8L1	
TDRD9	DKFZp434N0820,FLJ36164,NET54
TRIM62	DEAR1,FLJ10759
HRSP12	P14.5,PSP,UK114
INSIG2	
USP12PY	
DFNB45	
LEPREL2	GRCB,HSU47926,P3H3
KCTD2	KIAA0176
EXOSC5	MGC12901,RRP41B,RRP46,Rrp46p,hRrp46p,p12B
C6orf202	
NUP107	NUP84
KCTD11	KCASH1,REN
REEP4	FLJ22246,FLJ22277,PP432
NCOA4P1	
CLEC14A	
TBC1D21	MGC34741,MgcRabGAP
LRRC4B	DKFZp761A179,HSM
LRCH2	KIAA1495
ARL13A	
PIK3R5	P101-PI3K,p101
EVL	RNB6
NUDT17	FLJ34433
ASCC3	ASC1p200,RNAH,dJ121G13.4,dJ467N11.1
MANEA	FLJ12838,mandaselin
ATP5G1P1	
ASH1L	ASH1,ASH1L1,KMT2H,huASH1
PRR26	FLJ38681
ZNF559	MGC13105
NRBP2	DKFZp434P086
KRT6C	
PKP2P1	
IL27RA	CRL1,IL-27R,TCCR,WSX-1,WSX1,zcytor1
PLB1	FLJ30866,PLB
CA13	CAXIII,FLJ37995,MGC59868
ST6GALNAC6	ST6GALNACVI
CDC40	EHB3,FLJ10564,PRP17,PRPF17
DFNB47	
COMMD1	MGC27155,MURR1
HCG26	NCRNA00191,bCX205D4.4,bPG181B23.4
POLR1A	DKFZP586M0122,FLJ21915,RPA1,RPO1-4
RPS26P9	
DLGAP4	DAP4,KIAA0964,SAPAP4
TMED7	CGI-109,FLJ90481
PDCD1LG2	B7-DC,Btdc,CD273,PD-L2,PDL2,bA574F11.2
MICU2	
SLC30A7	ZNT7,ZnTL2
ABHD5	CGI-58,NCIE2
FIBCD1	FLJ14810
EXOC1	BM-102,FLJ10893,SEC3,Sec3p
DFNA49	
TBC1D12	KIAA0608
C9orf96	MGC43306
ALPK1	FLJ22670,KIAA1527,Lak
LIN7C	FLJ11215,LIN-7-C,LIN-7C,Lin7c,MALS-3,VELI3
VN1R13P	VNR6I4P,bA373D17.3,hs6V1-4p
GPR142	PGR2
NAPSA	KAP,Kdap,NAP1,NAPA
C9orf62	MGC35463
NOP56P1	NOP56-L,dJ207F6.1
ARHGAP23	KIAA1501
C1QL3	C1QTNF13,C1ql,CTRP13,K100
BTBD9	KIAA1880,dJ322I12.1
SH2D4A	FLJ20967,PPP1R38,SH2A
ESCO2	EFO2
VCX2	VCX-2r
TMEM38A	MGC3169,TRIC-A
FEM1C	EUROIMAGE686608,EUROIMAGE783647,FEM1A,KIAA1785
CTSL1P5	bA342C24.4
MTSS1	KIAA0429,MIM,MIMA,MIMB
PEX5L	PEX5R,PXR2
OR2A25	
CCDC177	PLPL
SLIRP	DC50
FREM1	C9orf143,C9orf145,DKFZp686M16108,FLJ25461,TILRR
BRAFP1	BRAF2
MXD3	MAD3,bHLHc13
GLRXP2	
FEM1AP1	
PNLDC1	FLJ40240,dJ195P10.2
TMC8	EVIN2
GPR89P	C11H1.2-Lp
PDGFD	IEGF,MSTP036,SCDGF-B
LRRK1	FLJ23119,KIAA1790,RIPK6,Roco1
SLCO4C1	OATP-H,OATP4C1,OATPX,SLC21A20
LRRC19	FLJ21302
ASUN	FLJ10637,Mat89Bb,NET48,SPATA30
LPGAT1P1	
PRPF3	HPRP3,Prp3
CDKL4	
ZNF571	HSPC059
RPL21P7	
GTDC1	FLJ11753,Hmat-Xa
RBM22P1	
CEPT1	
SMC6	FLJ22116
KLHDC3	PEAS,dJ20C7.3,hPeas
PARP10	FLJ14464
REEP6	DP1L1,FLJ25383
KBTBD2	DKFZP566C134
ZNF530	KIAA1508
DOK4	FLJ10488
OR11P1P	
RNF122	FLJ12526
NT5DC1	MGC24302,dJ486I3.1
ACBD5	DKFZp434A2417,KIAA1996
DENND1C	FLJ22757
MED8	ARC32,MGC17544,MGC19641
TNIK	KIAA0551
THRAP3	TRAP150
FAM120AOS	
ECT2L	ARHGEF32,FBXO49,LFDH
SNRPGP1	
SENP6	KIAA0797,SUSP1
KIAA1217	DKFZP761L0424,SKT
SP8	
OR4C48P	
C6orf43	
ANKRD27	DKFZp434L0718,FLJ00040,VARP
MRPS21P1	
ZNF568	DKFZp686B0797
PLEKHG2	ARHGEF42,CLG,FLJ00018
THOC3	MGC5469,TEX1
KCNIP4	CALP,KCHIP4,MGC44947
LTV1	FLJ14909,dJ468K18.4
BMF	FLJ00065
FAM51A2P	
SMAP1	FLJ13159,SMAP-1
TAS2R31	T2R31,T2R53
ZNF32-AS2	b402L1.7
MLF1IP	CENP-50,CENP-U,CENPU,KLIP1
DNAJC11	FLJ10737
LINC00614	FLJ35853
ANKMY2	DKFZP564O043,ZMYND20
TMEM11	PM1,PMI
CACYBP	S100A6BP
MRPL35P3	
BMP8A	
ANAPC4	APC4
HERC6	FLJ20637
RCL1	RNAC,RPCL1
WDR45B	WIPI3
PIGW	FLJ37433,Gwt1
E2F7	
OR6U2P	
DDX46	FLJ25329,KIAA0801,PRPF5,Prp5
ZPBP2	MGC41930,ZPBPL
HCG9P2	HCGIX-2
ICK	KIAA0936,LCK2,MGC46090,MRK
EML5	EMAP-2,HuEMAP-2
IQCE	KIAA1023
FBXO15	FBX15,MGC39671
TRIM42	FLJ40097,PPP1R40
HSFY2	FLJ25453
TMEM260	FLJ20392
SQRDL	CGI-44
PLEKHA7	DKFZp686M22243
DDX19A	FLJ11126
KNSTRN	FLJ14502,SKAP,TRAF4AF1,kinastrin
RPS17P1	RPS17p,dJ994E9.1
H2AFV	MGC10170,MGC10831,MGC1947
KIAA0020	HA-8,PUF6,XTP5,hPUF-A
NOTO	
ZBTB9	MGC23166,ZNF919
RGCC	RGC-32,RGC32,bA157L14.2
MORF4L1	Eaf3,HsT17725,MEAF3,MORFRG15,MRG15
SLC37A3	DKFZp761N0624
SPEN	KIAA0929,RBM15C
FAM25A	bA96C23.5
ARRDC4	FLJ36045
FAM35BP	bA38L15.1
ATAD2	DKFZp667N1320,MGC29843,MGC5254,PRO2000
C10orf53	Em:AC069546.1
OR4C17P	
RNF149	FLJ90504
DUSP19	DUSP17,SKRP1
MEIG1	SPATA39,bA2K17.3
ZNF604P	
NDUFA9P1	dJ106I20.2
ZCCHC14	BDG29,MGC14139
IQCF1	MGC39725
LCE1C	LEP3
KRTAP16-1	KAP16.1
SPIRE1	KIAA1135,spir-1
RASGEF1C	FLJ35841
C9orf53	bA149I2.3
CDK5PS	
C10orf90	FLJ32938,bA422P15.2
CASC1	FLJ10921,LAS1,PPP1R54
BHLHB9	KIAA1701,p60TRP
FZR1	CDC20C,CDH1,FZR,FZR2,HCDH,HCDH1,KIAA1242
OR52Z1	
KRT77	
NOXO1	P41NOXA,P41NOXB,P41NOXC,SH3PXD5,SNX28
HLA-P	dJ377H14.3
IL17RE	FLJ23658
PDZD4	FLJ34125,KIAA1444,LU1,PDZRN4L
NKX6-2	GTX,NKX6.1,NKX6B
DERL2	CGI-101,F-LAN-1,F-LANa,FLANa,derlin-2
ANKRD35	FLJ25124
GPR114	PGR27
AS3MT	CYT19
OR8X1P	
FAM73B	FLJ00199,FLJ14596
KRTAP20-2	KAP20.2
TENM4	KIAA1302,Ten-M4
MRGPRF	MGC21621,mrgF
ARNTL2	BMAL2,CLIF,MOP9,PASD9,bHLHe6
ZNF652	KIAA0924
NBR2	NCRNA00192
MRPL9P1	
ROBO3	FLJ21044,HGPS,RBIG1
GPR173	SREB3
TAGLN3	NP22,NP25
TAGLN2P2	
PTMAP7	
CTR9	KIAA0155,TSBP,p150TSP
ARID3B	BDP,DRIL2
SUPT20HL2	
LRRC10	HRLRRP,LRRC10A
ZNF512	KIAA1805
RPP14	P14
OR8S1	
CAP2P1	
TAS2R6	T2R06,T2R6
SYMPK	SPK,SYM
ZFP106	
SLC25A51P3	
RPL21P12	
HCG2P2	
KRTAP21-1	KAP21.1
PTAR1	
USP34	KIAA0570,KIAA0729
CPAT1	
EAF1	
HIST2H2BA	
KRT18P7	
ATP13A2	CLN12,HSA9947
PAIP2	PAIP2A
GPR152	PGR5
SNX22	FLJ13952
HMGA1P3	HMGIYL3
IDI2-AS1	Em:AC022536.4,HT009
TIMM21	HSPC154,TIM21
KRTAP22-1	KAP22.1
SPRED1	FLJ33903
ZNF483	KIAA1962,ZKSCAN16,ZSCAN48
SERTAD4	DJ667H12.2
ALG3	CDGS4,D16Ertd36e,NOT56L,Not56
GRWD1	GRWD,RRB1,WDR28
ATP6V0CP1	
TMEM37	PR,PR1
ENOSF1	HSRTSBETA,TYMSAS,rTS
KIAA1279	DKFZP586B0923,TTC20
JPH4	KIAA1831
LECT1	BRICD3,CHM-I,CHM1,chondromodulin
WFIKKN1	RJD2,WFDC20A,WFIKKN
EIF4EBP1P1	
OR6C74	
RAET1G	ULBP5
SLC45A2	AIM-1
SPIC	MGC40611,SPI-C
CUL7	dJ20C7.5
ACBD4	FLJ13322
C10orf107	Em:AC022398.2,MGC44593,bA63A2.1
RDH13	SDR7C3
LGMNP1	
DEPTOR	DEP.6,FLJ12428
HIPK1	KIAA0630,MGC26642,MGC33446,MGC33548,Myak,Nbak2
LINC00619	bA168P8.1
TBC1D13	FLJ10743
C5orf15	HTGN29,KCT2
OCIAD1	Asrij,FLJ20455,OCIA,TPA018
ZNF346	JAZ,Zfp346
LRCH1	KIAA1016
C21orf115	
C6orf203	HSPC230,PRED31
HCG25	dJ1033B10.16
TFDP3	CT30,E2F-like,HCA661
TMEM41B	KIAA0033
CST9	CLM,CTES7A
IBTK	BTBD26,DKFZP564B116
ATG4B	AUTL1,Apg4B,DKFZp586D1822,KIAA0943
CCRL1P1	dJ509I19.4
CTSL1P6	bA479O17.1
NCLN	NET59,NICALIN
NOVA1-AS1	
FAM20C	DKFZp547D065,DMP4,IMAGE:4942737
PPIAP4	
SFMBT1	DKFZp434L243,RU1,SFMBT
	HSPC014,UMP1
MRPS31P1	
KRTAP5-10	KRTAP5.10
DEC1	CTS9
DCP2	NUDT20
SYT11	DKFZp781D015,KIAA0080,MGC10881,MGC17226
MUC19	FLJ35746
TMPOP1	Em:AB014080.3
LRRC18	MGC34773,UNQ933,UNQ9338,VKGE9338
CNTNAP5	FLJ31966,caspr5
GOLT1B	CGI-141,GOT1,YMR292W
PTBP1P	
KIAA1618	
GKN1	AMP18,BRICD1,CA11
C14orf157	
ADM2	AM2,FLJ21135
MOSPD2	MGC26706
ARL6IP5	DERP11,GTRAP3-18,HSPC127,JWA,PRAF3
HCG14	dJ111M5.4
CHFR	FLJ10796,RNF196
LARP1P1	dJ221C16.7
INHBE	MGC4638,activin
IFNL1	IL-29
LNX2	MGC46315
PPP2R2D	MDS026
POLDIP3	KIAA1649,PDIP46
CDY13P	
OTSC4	
SOHLH1	NOHLH,SPATA27,TEB2,bA100C15.3,bHLHe80
IER3IP1	
MORF4L1P2	
INSM2	IA-6
RAP2C	DKFZp313B211
COL23A1	DKFZp434K0621
ZNF558	FLJ30932
CHCHD6	CHCM1,MGC13016,PPP1R23
FAM19A3	TAFA-3
CNOT11	C40
C10orf11	CDA017
MYOM3	FLJ35961
ACTR10	ACTR11,Arp11,HARP11
NANOGP1	NANOG2
OFD1P2Y	
PXK	FLJ20335
ZNF569	FLJ32053,ZAP1
BCKDK	
TRIM59	Mrf1,RNF104,TSBF1
RPA2P1	
DFNA54	
NUTMG	
ZNF581	FLJ22550,HSPC189
WWTR1	DKFZp586I1419,TAZ
ITIH5	MGC10848
SARS2	FLJ20450,SERS,SYS,SerRSmt,mtSerRS
SLC36A2	PAT2,TRAMD1,tramdorin
TUBBP4	bA537H15.5
CDY7P	
ANKRD12	FLJ20053,GAC-1,KIAA0874
MLPH	Slac-2a,exophilin-3,l(1)-3Rk,l1Rk3,ln
VRTN	FLJ10811,vertnin
RASSF6	
CCDC167	dJ153P14.2
ZSWIM2	MGC33890,ZZZ2
HSPB8	E2IG1,H11,HSP22,HspB8
TGCT1	
SDAD1P2	
